time,follower
2022-08-02 12:04:09,977695
2022-08-02 12:10:22,977740
2022-08-02 12:16:33,977797
2022-08-02 12:23:00,977835
2022-08-02 12:29:50,977880
2022-08-02 12:36:22,977937
2022-08-02 12:42:38,977980
2022-08-02 12:49:02,978031
2022-08-02 12:55:30,978078
2022-08-02 13:01:36,978115
2022-08-02 13:08:16,978157
2022-08-02 13:14:34,978197
2022-08-02 13:20:53,978243
2022-08-02 13:27:11,978287
2022-08-02 13:34:28,978329
2022-08-02 13:47:06,978392
2022-08-02 13:58:54,978448
2022-08-02 14:11:13,978521
2022-08-02 14:23:17,978575
2022-08-02 14:28:59,978614
2022-08-02 14:42:19,978677
2022-08-02 14:48:20,978716
2022-08-02 15:00:24,978766
2022-08-02 15:06:51,978807
2022-08-02 15:19:33,978866
2022-08-02 15:32:32,978927
2022-08-02 15:44:56,978982
2022-08-02 15:52:28,979019
2022-08-02 16:05:32,979077
2022-08-02 16:18:14,979130
2022-08-02 16:31:58,979204
2022-08-02 16:45:41,979276
2022-08-02 16:52:11,979315
2022-08-02 17:04:47,979383
2022-08-02 17:17:05,979433
2022-08-02 17:29:54,979489
2022-08-02 17:42:09,979555
2022-08-02 17:48:01,979593
2022-08-02 18:01:18,979652
2022-08-02 18:08:14,979688
2022-08-02 18:20:39,979743
2022-08-02 18:33:30,979807
2022-08-02 18:45:06,979879
2022-08-02 18:57:34,979925
2022-08-02 19:11:14,979980
2022-08-02 19:23:29,980052
2022-08-02 19:29:30,980089
2022-08-02 19:42:21,980158
2022-08-02 19:48:15,980198
2022-08-02 19:55:00,980236
2022-08-02 20:00:22,980275
2022-08-02 20:12:52,980342
2022-08-02 20:19:07,980378
2022-08-02 20:31:46,980442
2022-08-02 20:38:05,980529
2022-08-02 20:45:18,980619
2022-08-02 20:51:58,980700
2022-08-02 20:58:55,980801
2022-08-02 21:05:07,980876
2022-08-02 21:11:40,980964
2022-08-02 21:18:35,981070
2022-08-02 21:24:36,981144
2022-08-02 21:30:18,981210
2022-08-02 21:36:02,981285
2022-08-02 21:41:49,981355
2022-08-02 21:47:01,981413
2022-08-02 21:52:18,981482
2022-08-02 21:58:08,981554
2022-08-02 22:04:03,981623
2022-08-02 22:09:42,981685
2022-08-02 22:14:58,981747
